Province/State,Country/Region,Lat,Long,4/5/2020
Lebanon,Lebanon,33.8547,35.8623,18
Liberia,Liberia,6.4281,-9.4295,3
Liechtenstein,Liechtenstein,47.14,9.55,1
Lithuania,Lithuania,55.1694,23.8813,13
Luxembourg,Luxembourg,49.8153,6.1296,36
Madagascar,Madagascar,-18.7669,46.8691,0
Malaysia,Malaysia,2.5,112.5,61
Maldives,Maldives,3.2028,73.2207,0
Malta,Malta,35.9375,14.3754,0
Mauritania,Mauritania,21.0079,10.9408,1
Mauritius,Mauritius,-20.2,57.5,7
Mexico,Mexico,23.6345,-102.5528,79
Moldova,Moldova,47.4116,28.3699,15
Monaco,Monaco,43.7333,7.4167,1
Mongolia,Mongolia,46.8625,103.8467,0
Montenegro,Montenegro,42.5,19.3,2
Morocco,Morocco,31.7917,-7.0926,70
Namibia,Namibia,-22.9576,18.4904,0
Nepal,Nepal,28.1667,84.25,0
Netherlands,Netherlands,12.5186,-70.0358,0
Netherlands,Netherlands,12.1696,-68.99,1
Netherlands,Netherlands,18.0425,-63.0548,4
Netherlands,Netherlands,52.1326,5.2913,1766
New Zealand,New Zealand,-40.9006,174.886,1
Nicaragua,Nicaragua,12.8654,-85.2072,1
Niger,Niger,17.6078,8.0817,10
Nigeria,Nigeria,9.082,8.6753,5
North Macedonia,North Macedonia,41.6086,21.7453,18
Norway,Norway,60.472,8.4689,71
Oman,Oman,21,57,2
Pakistan,Pakistan,30.3753,69.3451,47
Panama,Panama,8.538,-80.7821,46
Papua New Guinea,Papua New Guinea,-6.315,143.9555,0
Paraguay,Paraguay,-23.4425,-58.4438,3
Peru,Peru,-9.19,-75.0152,83
Philippines,Philippines,13,122,152
Poland,Poland,51.9194,19.1451,94
Portugal,Portugal,39.3999,-8.2245,295
Qatar,Qatar,25.3548,51.1839,4
Romania,Romania,45.9432,24.9668,151
Russia,Russia,60,90,45
Rwanda,Rwanda,-1.9403,29.8739,0
Saint Lucia,Saint Lucia,13.9094,-60.9789,0
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,0
San Marino,San Marino,43.9424,12.4578,32
Saudi Arabia,Saudi Arabia,24,45,34
Senegal,Senegal,14.4974,-14.4524,2
Serbia,Serbia,44.0165,21.0059,51
Seychelles,Seychelles,-4.6796,55.492,0
Singapore,Singapore,1.2833,103.8333,6
Slovakia,Slovakia,48.669,19.699,1
Slovenia,Slovenia,46.1512,14.9955,28
Somalia,Somalia,5.1521,46.1996,0
South Africa,South Africa,-30.5595,22.9375,11
Spain,Spain,40,-4,12641
Sri Lanka,Sri Lanka,7,81,5
Sudan,Sudan,12.8628,30.2176,2
Suriname,Suriname,3.9193,-56.0278,1
Sweden,Sweden,63,16,401
Switzerland,Switzerland,46.8182,8.2275,715
Taiwan*,Taiwan*,23.7,121,5
Tanzania,Tanzania,-6.369,34.8888,1
Thailand,Thailand,15,101,23
Togo,Togo,8.6195,0.8248,3
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,7
Tunisia,Tunisia,34,9,22
Turkey,Turkey,38.9637,35.2433,574
Uganda,Uganda,1,32,0
Ukraine,Ukraine,48.3794,31.1656,37
United Arab Emirates,United Arab Emirates,24,54,10
United Kingdom,United Kingdom,32.3078,-64.7505,0
United Kingdom,United Kingdom,19.3133,-81.2546,1
United Kingdom,United Kingdom,49.3723,-2.3644,6
United Kingdom,United Kingdom,36.1408,-5.3536,0
United Kingdom,United Kingdom,54.2361,-4.5481,1
United Kingdom,United Kingdom,16.7425,-62.1874,0
United Kingdom,United Kingdom,55.3781,-3.436,4934
Uruguay,Uruguay,-32.5228,-55.7658,5
US,US,37.0902,-95.7129,9619
Uzbekistan,Uzbekistan,41.3775,64.5853,2
Venezuela,Venezuela,6.4238,-66.5897,7
Vietnam,Vietnam,16,108,0
Zambia,Zambia,-15.4167,28.2833,1
Zimbabwe,Zimbabwe,-20,30,1
Dominica,Dominica,15.415,-61.371,0
Grenada,Grenada,12.1165,-61.679,0
Mozambique,Mozambique,-18.665695,35.529562,0
Syria,Syria,34.802075,38.996815,2
Timor-Leste,Timor-Leste,-8.874217,125.727539,0
Belize,Belize,13.1939,-59.5432,0
Laos,Laos,19.85627,102.495496,0
Libya,Libya,26.3351,17.228331,1
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,1
Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,0
Mali,Mali,17.570692,-3.996166,5
Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,0
Canada,Canada,64.8255,-124.8457,0
Canada,Canada,64.2823,-135,0
Kosovo,Kosovo,42.602636,20.902977,1
Burma,Burma,21.9162,95.956,1
United Kingdom,United Kingdom,18.2206,-63.0686,0
United Kingdom,United Kingdom,18.4207,-64.64,0
United Kingdom,United Kingdom,21.694,-71.7979,1
Botswana,Botswana,-22.3285,24.6849,1
Burundi,Burundi,-3.3731,29.9189,0
Sierra Leone,Sierra Leone,8.460555,-11.779889,0
Netherlands,Netherlands,12.1784,-68.2385,0
Malawi,Malawi,-13.254308,34.301525,0
United Kingdom,United Kingdom,-51.7963,-59.5236,0
France,France,46.8852,-56.3159,0
South Sudan,South Sudan,6.877,31.307,0
Western Sahara,Western Sahara,24.2155,-12.8858,0
