Province/State,Country/Region,Lat,Long,4/5/2020
Moldova,Moldova,47.4116,28.3699,30
Monaco,Monaco,43.7333,7.4167,3
Mongolia,Mongolia,46.8625,103.8467,2
Montenegro,Montenegro,42.5,19.3,1
Morocco,Morocco,31.7917,-7.0926,76
Mozambique,Mozambique,-18.6657,35.5296,1
Namibia,Namibia,-22.9576,18.4904,3
Nepal,Nepal,28.1667,84.25,1
Netherlands,Netherlands,12.5186,-70.0358,1
Netherlands,Netherlands,12.1696,-68.99,5
Netherlands,Netherlands,18.0425,-63.0548,1
Netherlands,Netherlands,52.1326,5.2913,250
New Zealand,New Zealand,-40.9006,174.886,156
Nicaragua,Nicaragua,12.8654,-85.2072,0
Niger,Niger,17.6078,8.0817,13
Nigeria,Nigeria,9.082,8.6753,33
North Macedonia,North Macedonia,41.6086,21.7453,23
Norway,Norway,60.472,8.4689,32
Oman,Oman,21,57,61
Pakistan,Pakistan,30.3753,69.3451,211
Panama,Panama,8.538,-80.7821,13
Papua New Guinea,Papua New Guinea,-6.315,143.9555,0
Paraguay,Paraguay,-23.4425,-58.4438,12
Peru,Peru,-9.19,-75.0152,989
Philippines,Philippines,13,122,64
Poland,Poland,51.9194,19.1451,134
Portugal,Portugal,39.3999,-8.2245,75
Qatar,Qatar,25.3548,51.1839,123
Romania,Romania,45.9432,24.9668,374
Russia,Russia,60,90,355
Rwanda,Rwanda,-1.9403,29.8739,4
Saint Kitts and Nevis,Saint Kitts and Nevis,17.357822,-62.782998,0
Saint Lucia,Saint Lucia,13.9094,-60.9789,1
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,12.9843,-61.2872,1
San Marino,San Marino,43.9424,12.4578,35
Saudi Arabia,Saudi Arabia,24,45,488
Senegal,Senegal,14.4974,-14.4524,82
Serbia,Serbia,44.0165,21.0059,0
Seychelles,Seychelles,-4.6796,55.492,0
Singapore,Singapore,1.2833,103.8333,320
Slovakia,Slovakia,48.669,19.699,10
Slovenia,Slovenia,46.1512,14.9955,79
Somalia,Somalia,5.1521,46.1996,1
South Africa,South Africa,-30.5595,22.9375,95
Spain,Spain,40,-4,38080
Sri Lanka,Sri Lanka,7,81,33
Sudan,Sudan,12.8628,30.2176,2
Suriname,Suriname,3.9193,-56.0278,0
Sweden,Sweden,63,16,205
Switzerland,Switzerland,46.8182,8.2275,6415
Syria,Syria,34.8021,38.9968,2
Taiwan*,Taiwan*,23.7,121,50
Tanzania,Tanzania,-6.369,34.8888,3
Thailand,Thailand,15,101,793
Timor-Leste,Timor-Leste,-8.8742,125.7275,0
Togo,Togo,8.6195,0.8248,20
Trinidad and Tobago,Trinidad and Tobago,10.6918,-61.2225,1
Tunisia,Tunisia,34,9,5
Turkey,Turkey,38.9637,35.2433,1042
Uganda,Uganda,1,32,0
Ukraine,Ukraine,48.3794,31.1656,28
United Arab Emirates,United Arab Emirates,24,54,144
United Kingdom,United Kingdom,32.3078,-64.7505,14
United Kingdom,United Kingdom,19.3133,-81.2546,1
United Kingdom,United Kingdom,49.3723,-2.3644,27
United Kingdom,United Kingdom,36.1408,-5.3536,52
United Kingdom,United Kingdom,54.2361,-4.5481,0
United Kingdom,United Kingdom,16.7425,-62.1874,0
United Kingdom,United Kingdom,55.3781,-3.436,135
Uruguay,Uruguay,-32.5228,-55.7658,93
US,US,37.0902,-95.7129,17448
Uzbekistan,Uzbekistan,41.3775,64.5853,30
Venezuela,Venezuela,6.4238,-66.5897,52
Vietnam,Vietnam,16,108,90
Zambia,Zambia,-15.4167,28.2833,3
Zimbabwe,Zimbabwe,-20,30,0
West Bank and Gaza,West Bank and Gaza,31.9522,35.2332,25
Laos,Laos,19.85627,102.495496,0
Kosovo,Kosovo,42.602636,20.902977,23
Burma,Burma,21.9162,95.956,0
United Kingdom,United Kingdom,18.2206,-63.0686,0
United Kingdom,United Kingdom,18.4207,-64.64,0
United Kingdom,United Kingdom,21.694,-71.7979,0
Botswana,Botswana,-22.3285,24.6849,0
Burundi,Burundi,-3.3731,29.9189,0
Sierra Leone,Sierra Leone,8.460555,-11.779889,0
Netherlands,Netherlands,12.1784,-68.2385,0
Malawi,Malawi,-13.254308,34.301525,0
United Kingdom,United Kingdom,-51.7963,-59.5236,0
France,France,46.8852,-56.3159,0
South Sudan,South Sudan,6.877,31.307,0
Western Sahara,Western Sahara,24.2155,-12.8858,0
